 Frequency(KHz),Amplitude 1(V),Amplitude 2(V),Phase Shift,Amplitude Difference
1,4.92,4.84,0,0.0800000000000001
2,4.84,4.7,0,0.14
3,4.76,4.48,-16.5,0.279999999999999
4,4.6,4.24,-21.2,0.359999999999999
5,4.44,3.96,-24.7,0.48
6,4.36,3.68,-30,0.68
7,4.2,3.44,-33.9,0.76
8,4.12,3.2,-37.4,0.92
9,4.04,3.04,-40.5,1
10,3.96,2.8,-43.3,1.16
11,3.88,2.64,-45.5,1.24
12,3.8,2.48,-48.1,1.32
13,3.8,2.32,-50.2,1.48
14,3.72,2.18,-52.15,1.54
15,3.72,2.08,-53.8,1.64
16,3.64,2,-55.3,1.64
17,3.64,1.84,-56.8,1.8
18,3.64,1.76,-58.1,1.88
