Untitled,Untitled 1
0.01,3.6
0.021,3.6
0.033,3.6
0.043,3.6
0.054,3.6
0.064,3.6
0.075,3.6
0.085,3.6
0.12,3.6
0.131,3.6
0.142,3.6
0.152,3.6
0.163,3.6
0.173,3.6
0.183,3.6
0.221,3.6
0.233,3.6
0.243,3.6
0.254,3.6
0.264,3.6
0.275,3.6
0.285,3.6
0.321,3.6
0.333,3.6
0.344,3.6
0.354,3.6
0.365,3.6
0.375,3.6
0.386,3.6
0.423,3.6
0.435,3.6
0.445,3.6
0.461,3.6
0.471,3.6
0.482,3.6
0.492,3.6
0.526,3.6
0.537,3.6
0.548,3.6
0.559,3.6
0.57,3.6
0.58,3.6
0.593,3.6
0.624,3.6
0.636,3.6
0.646,3.6
0.657,3.6
0.668,3.6
0.678,3.6
0.688,3.6
0.725,3.6
0.737,3.6
0.747,3.6
0.757,3.6
0.768,3.6
0.778,3.6
0.788,3.6
0.825,3.6
0.837,3.6
0.847,3.6
0.858,3.6
0.869,3.6
0.879,3.6
0.889,3.6
0.926,3.6
0.938,3.6
0.948,3.6
0.959,3.6
0.97,3.6
0.98,3.6
0.99,3.6
1.001,3.6
1.029,3.6
1.041,3.6
1.052,3.6
1.063,3.6
1.073,3.6
1.083,3.6
1.094,3.6
1.128,3.6
1.14,3.6
1.15,3.6
1.161,3.6
1.172,3.6
1.182,3.6
1.192,3.6
1.229,3.6
1.241,3.6
1.251,3.6
1.262,3.6
1.273,3.6
1.283,3.6
1.3,3.6
1.329,3.6
1.341,3.6
1.351,3.6
1.362,3.6
1.372,3.6
1.383,3.6
1.393,3.6
1.431,3.6
1.442,3.6
1.453,3.6
1.463,3.6
1.474,3.6
1.484,3.6
1.494,3.6
1.531,3.6
1.543,3.6
1.553,3.6
1.564,3.6
1.574,3.6
1.585,3.6
1.595,3.6
1.632,3.6
1.644,3.6
1.654,3.6
1.665,3.6
1.675,3.6
1.685,3.6
1.696,3.6
1.733,3.6
1.745,3.6
1.755,3.6
1.766,3.6
1.776,3.6
1.787,3.6
1.797,3.6
1.834,3.6
1.846,3.6
1.856,3.6
1.867,3.6
1.877,3.6
1.887,3.6
1.898,3.6
1.934,3.6
1.947,3.6
1.957,3.6
1.968,3.6
1.979,3.6
1.989,3.6
1.999,3.6
2.037,3.6
2.049,3.6
2.059,3.6
2.07,3.6
2.081,3.6
2.091,3.6
2.101,3.6
2.137,3.6
2.148,3.6
2.159,3.6
2.17,3.6
2.18,3.6
2.191,3.6
2.201,3.6
2.237,3.6
2.249,3.6
2.26,3.6
2.27,3.6
2.281,3.6
2.291,3.6
2.301,3.6
2.338,3.6
2.35,3.6
2.36,3.6
2.371,3.6
2.381,3.6
2.392,3.6
2.402,3.6
2.438,3.6
2.45,3.6
2.461,3.6
2.471,3.6
2.482,3.6
2.492,3.6
2.502,3.6
2.539,3.6
2.551,3.6
2.561,3.6
2.572,3.6
2.582,3.6
2.593,3.6
2.603,3.6
2.64,3.6
2.652,3.6
2.662,3.6
2.673,3.6
2.684,3.6
2.694,3.6
2.704,3.6
2.741,3.6
2.753,3.6
2.763,3.6
2.774,3.6
2.784,3.6
2.795,3.6
2.805,3.6
2.842,3.6
2.854,3.6
2.864,3.6
2.875,3.6
2.885,3.6
2.896,3.6
2.906,3.6
2.943,3.6
2.955,3.6
2.965,3.6
2.975,3.6
2.986,3.6
2.996,3.6
3.007,3.6
3.043,3.6
3.055,3.6
3.065,3.6
3.076,3.6
3.087,3.6
3.097,3.6
3.107,3.6
3.144,3.6
3.156,3.6
3.166,3.6
3.177,3.6
3.188,3.6
3.198,3.6
3.208,3.6
3.245,3.6
3.256,3.6
3.267,3.6
3.277,3.6
3.288,3.6
3.298,3.6
3.308,3.6
3.346,3.6
3.358,3.6
3.368,3.6
3.379,3.6
3.389,3.6
3.399,3.6
3.41,3.6
3.447,3.6
3.459,3.6
3.469,3.6
3.48,3.6
3.49,3.6
3.5,3.6
3.511,3.6
3.548,3.6
3.559,3.6
3.57,3.6
3.58,3.6
3.591,3.6
3.601,3.6
3.611,3.6
3.648,3.6
3.66,3.6
3.67,3.6
3.683,3.6
3.693,3.6
3.703,3.6
3.714,3.6
3.749,3.6
3.761,3.6
3.771,3.6
3.782,3.6
3.792,3.6
3.802,3.6
3.813,3.6
3.85,3.6
3.862,3.6
3.872,3.6
3.882,3.6
3.893,3.6
3.903,3.6
3.914,3.6
3.95,3.6
3.962,3.6
3.973,3.6
3.983,3.6
3.995,3.6
4.005,3.6
4.024,3.6
4.052,3.6
4.063,3.6
4.075,3.6
4.085,3.6
4.096,3.6
4.106,3.6
4.121,3.6
4.152,3.6
4.164,3.6
4.175,3.6
4.185,3.6
4.196,3.6
4.206,3.6
4.217,3.6
4.253,3.6
4.265,3.6
4.275,3.6
4.286,3.6
4.297,3.6
4.307,3.6
4.317,3.6
4.354,3.6
4.366,3.6
4.376,3.6
4.387,3.6
4.397,3.6
4.408,3.6
4.418,3.6
4.454,3.6
4.466,3.6
4.476,3.6
4.487,3.6
4.498,3.6
4.508,3.6
4.518,3.6
4.555,3.6
4.567,3.6
4.577,3.6
4.588,3.6
4.598,3.6
4.608,3.6
4.619,3.6
4.656,3.6
4.667,3.6
4.678,3.6
4.688,3.6
4.699,3.6
4.709,3.6
4.72,3.6
4.757,3.6
4.769,3.6
4.779,3.6
4.79,3.6
4.801,3.6
4.811,3.6
4.83,3.6
4.858,3.6
4.869,3.6
4.88,3.6
4.89,3.6
4.901,3.6
4.911,3.6
4.921,3.6
4.958,3.6
4.97,3.6
4.981,3.6
4.991,3.6
5.002,3.6
5.012,3.6
5.022,3.6
5.059,3.6
5.071,3.6
5.082,3.6
5.092,3.6
5.103,3.6
5.113,3.6
5.123,3.6
5.16,3.6
5.172,3.6
5.183,3.6
5.193,3.6
5.204,3.6
5.214,3.6
5.224,3.6
5.261,3.6
5.273,3.6
5.283,3.6
5.294,3.6
5.305,3.6
5.315,3.6
5.325,3.6
5.362,3.6
5.374,3.6
5.384,3.6
