Time Frequency
0.036 3
0.046 3
0.08 3
0.094 3
0.104 3
0.115 3
0.125 3
0.136 3
0.152 3
0.181 3
0.193 3
0.203 3
0.214 3
0.224 3
0.234 3
0.244 3
0.281 3
0.293 3
0.304 3
0.314 3
0.325 3
0.335 3
0.346 3
0.382 3
0.394 3
0.404 3
0.415 3
0.426 3
0.436 3
0.447 3
0.483 3
0.495 3
0.505 3
0.516 3
0.526 3
0.537 3
0.547 3
0.584 3
0.595 3
0.606 3
0.616 3
0.627 3
0.638 3
0.648 3
0.684 3
0.697 3
0.707 3
0.718 3
0.728 3
0.738 3
0.749 3
0.785 3
0.797 3
0.807 3
0.818 3
0.828 3
0.839 3
0.849 3
0.887 3
0.899 3
0.909 3
0.92 3
0.931 3
0.941 3
0.951 3
0.987 3
0.999 3
1.009 3
1.02 3
1.03 3
1.041 3
1.051 3
1.087 3
1.099 3
1.11 3
1.12 3
1.131 3
1.141 3
1.152 3
1.188 3
1.2 3
1.211 3
1.221 3
1.232 3
1.243 3
1.253 3
1.289 3
1.301 3
1.312 3
1.323 3
1.333 3
1.344 3
1.354 3
1.39 3
1.402 3
1.412 3
1.423 3
1.434 3
1.444 3
1.454 3
1.491 3
1.502 3
1.513 3
1.523 3
1.535 3
1.545 3
1.555 3
1.591 3
1.603 3
1.614 3
1.624 3
1.635 3
1.645 3
1.655 3
1.692 3
1.704 3
1.715 3
1.725 3
1.736 3
1.747 3
1.757 3
1.793 3
1.805 3
1.816 3
1.826 3
1.837 3
1.847 3
1.857 3
1.894 3
1.906 3
1.916 3
1.927 3
1.937 3
1.948 3
1.958 3
1.995 3
2.006 3
2.017 3
2.027 3
2.038 3
2.048 3
2.058 3
2.099 3
2.111 3
2.121 3
2.132 3
2.142 3
2.152 3
2.162 3
2.196 3
2.208 3
2.219 3
2.229 3
2.24 3
2.251 3
2.261 3
2.297 3
2.309 3
2.319 3
2.33 3
2.341 3
2.351 3
2.362 3
2.398 3
2.41 3
2.42 3
2.431 3
2.442 3
2.452 3
2.462 3
2.499 3
2.511 3
2.521 3
2.532 3
2.543 3
2.553 3
2.563 3
2.6 3
2.611 3
2.622 3
2.636 3
2.647 3
2.657 3
2.668 3
2.701 3
2.713 3
2.723 3
2.734 3
2.744 3
2.755 3
2.765 3
2.801 3
2.813 3
2.824 3
2.834 3
2.845 3
2.855 3
2.865 3
2.902 3
2.914 3
2.924 3
2.934 3
2.945 3
2.955 3
2.966 3
3.003 3
3.015 3
3.025 3
3.036 3
3.047 3
3.057 3
3.067 3
3.104 3
3.115 3
3.126 3
3.137 3
3.147 3
3.157 3
3.167 3
3.204 3
3.216 3
3.227 3
3.237 3
3.248 3
3.258 3
3.269 3
3.305 3
3.317 3
3.327 3
3.338 3
3.349 3
3.359 3
3.369 3
3.406 3
3.418 3
3.429 3
3.439 3
3.45 3
3.46 3
3.471 3
3.507 3
3.519 3
3.529 3
3.54 3
3.551 3
3.561 3
3.572 3
3.608 3
3.62 3
3.63 3
3.641 3
3.652 3
3.662 3
3.672 3
3.708 3
3.72 3
3.731 3
3.741 3
3.752 3
3.763 3
3.773 3
3.809 3
3.821 3
3.831 3
3.842 3
3.853 3
3.863 3
3.873 3
3.91 3
3.922 3
3.932 3
3.942 3
3.953 3
3.964 3
3.974 3
4.011 3
4.023 3
4.033 3
4.044 3
4.054 3
4.064 3
4.075 3
4.112 3
4.124 3
4.134 3
4.144 3
4.155 3
4.166 3
4.176 3
4.213 3
4.224 3
4.235 3
4.245 3
4.256 3
4.266 3
4.276 3
4.313 3
4.325 3
4.336 3
4.346 3
4.357 3
4.367 3
4.377 3
4.415 3
4.427 3
4.438 3
4.449 3
4.459 3
4.47 3
4.48 3
4.515 3
4.526 3
4.537 3
4.547 3
4.558 3
4.568 3
4.578 3
4.616 3
4.627 3
4.637 3
4.648 3
4.659 3
4.669 3
4.679 3
4.716 3
4.728 3
4.738 3
4.749 3
4.76 3
4.77 3
4.78 3
4.817 3
4.829 3
4.839 3
4.85 3
4.86 3
4.871 3
4.881 3
4.918 3
4.93 3
4.94 3
4.951 3
4.961 3
4.972 3
4.982 3
5.019 3
5.031 3
5.041 3
5.052 3
5.062 3
5.072 3
5.083 3
5.12 3
5.132 3
5.142 3
5.152 3
5.163 3
5.173 3
5.184 3
5.221 3
5.232 3
5.243 3
5.253 3
5.264 3
5.274 3
5.284 3
5.321 3
5.333 3
5.343 3
5.354 3
5.365 3
5.375 3
5.386 3
5.422 3
5.434 3
5.444 3
5.455 3
5.465 3
5.476 3
5.486 3
5.523 3
5.535 3
5.545 3
5.556 3
5.567 3
5.577 3
5.587 3
5.624 3
5.635 3
5.646 3
5.657 3
5.667 3
5.677 3
5.687 3
5.725 3
5.737 3
5.747 3
5.758 3
5.768 3
5.778 3
5.788 3
5.825 3
5.837 3
5.847 3
5.858 3
5.869 3
5.879 3
5.889 3
5.926 3
5.938 3
5.948 3
5.959 3
5.97 3
5.98 3
5.99 3
6.027 3
6.039 3
6.049 3
6.06 3
6.071 3
6.081 3
6.092 3
6.128 3
6.14 3
6.15 3
6.161 3
6.172 3
6.182 3
6.192 3
6.23 3
6.241 3
6.252 3
6.263 3
6.273 3
6.284 3
6.294 3
6.329 3
6.342 3
6.352 3
6.363 3
6.373 3
6.384 3
6.394 3
6.43 3
6.442 3
6.452 3
6.463 3
6.474 3
6.484 3
6.5 3
6.531 3
6.543 3
6.553 3
6.564 3
6.574 3
6.585 3
6.595 3
6.632 3
6.644 3
6.654 3
6.665 3
6.676 3
6.686 3
6.7 3
6.732 3
6.744 3
6.754 3
6.765 3
6.775 3
6.786 3
6.796 3
6.833 3
6.845 3
6.855 3
6.866 3
6.877 3
6.887 3
6.897 3
6.934 3
6.946 3
6.956 3
6.967 3
6.977 3
6.987 3
6.998 3
7.035 3
7.047 3
7.057 3
7.068 3
7.079 3
7.089 3
7.099 3
7.136 3
7.148 3
7.158 3
7.168 3
7.179 3
7.189 3
7.199 3
7.236 3
7.248 3
7.259 3
7.269 3
7.28 3
7.29 3
7.301 3
7.337 3
7.349 3
7.359 3
7.37 3
7.381 3
7.391 3
7.402 3
7.438 3
7.449 3
7.46 3
7.47 3
7.481 3
7.492 3
7.502 3
7.539 3
7.55 3
7.561 3
7.572 3
7.582 3
7.592 3
7.602 3
7.639 3
7.651 3
7.662 3
7.672 3
7.683 3
7.693 3
7.704 3
7.74 3
7.752 3
7.762 3
7.773 3
7.783 3
7.794 3
7.804 3
7.841 3
7.853 3
7.863 3
7.874 3
7.885 3
7.895 3
7.905 3
7.942 3
7.954 3
7.964 3
7.98 3
7.99 3
8 3
8.011 3
8.045 3
8.056 3
8.067 3
8.078 3
8.088 3
8.098 3
8.109 3
8.144 3
8.156 3
8.166 3
8.177 3
8.187 3
8.197 3
8.208 3
8.245 3
8.256 3
8.267 3
8.277 3
8.288 3
8.298 3
8.309 3
8.345 3
8.357 3
8.367 3
8.378 3
8.389 3
8.399 3
8.409 3
8.446 3
8.458 3
8.469 3
8.48 3
8.49 3
8.501 3
8.511 3
8.547 3
8.558 3
8.569 3
8.58 3
8.591 3
8.601 3
8.62 3
8.648 3
8.659 3
8.67 3
8.68 3
8.691 3
8.702 3
8.712 3
8.748 3
8.76 3
8.771 3
8.783 3
8.794 3
8.804 3
8.814 3
8.849 3
8.861 3
8.871 3
8.882 3
8.893 3
8.903 3
8.913 3
8.95 3
8.962 3
8.972 3
8.983 3
8.993 3
9.004 3
9.014 3
9.051 3
9.063 3
9.073 3
9.084 3
9.094 3
9.105 3
9.115 3
9.152 3
9.164 3
9.174 3
9.185 3
9.196 3
9.206 3
9.216 3
9.253 3
9.265 3
9.275 3
9.286 3
9.296 3
9.307 3
9.317 3
9.353 3
9.365 3
9.376 3
