  Phase  Time
  0.036 -16.09
  0.047 -16.09
  0.058 -16.09
  0.068 -16.09
  0.078 -15.83
  0.112 -15.83
  0.124 -15.83
  0.134 -15.83
  0.144 -15.83
  0.155 -15.83
  0.166 -15.83
  0.176 -16.25
  0.213 -16.25
  0.225 -16.25
  0.236 -16.25
  0.247 -16.25
  0.258 -16.25
  0.268 -16.25
  0.284 -15.84
  0.314 -15.84
  0.326 -15.84
  0.336 -15.84
  0.347 -15.84
  0.358 -15.84
  0.368 -15.84
  0.378 -16.03
  0.415 -16.03
  0.426 -16.03
  0.437 -16.03
  0.447 -16.03
  0.458 -16.03
  0.468 -16.03
  0.479 -15.93
  0.515 -15.93
  0.527 -15.93
  0.537 -15.93
  0.548 -15.93
  0.558 -15.93
  0.569 -15.93
  0.579 -15.67
  0.616 -15.67
  0.628 -15.67
  0.638 -15.67
  0.649 -15.67
  0.659 -15.67
    0.67 -15.67
    0.68 -15.82
  0.717 -15.82
  0.728 -15.82
  0.739 -15.82
  0.749 -15.82
    0.76 -15.82
    0.77 -15.82
    0.78 -16.07
  0.817 -16.07
  0.829 -16.07
    0.84 -16.07
    0.85 -16.07
  0.861 -16.07
  0.871 -16.07
  0.882 -15.97
  0.918 -15.97
    0.93 -15.97
    0.94 -15.97
  0.951 -15.97
  0.962 -15.97
  0.972 -15.97
  0.982 -15.9
1.019    -15.9
1.031    -15.9
1.041    -15.9
1.052    -15.9
1.063    -15.9
1.073    -15.9
1.084   -15.64
 1.12   -15.64
1.132   -15.64
1.142   -15.64
1.153   -15.64
1.164   -15.64
1.174   -15.64
1.185   -15.81
1.221   -15.81
1.232   -15.81
1.243   -15.81
1.253   -15.81
1.265   -15.81
1.275   -15.81
1.285   -15.87
1.321   -15.87
1.333   -15.87
1.344   -15.87
1.354   -15.87
1.365   -15.87
1.375   -15.87
1.385   -15.52
1.422   -15.52
1.434   -15.52
1.444   -15.52
1.455   -15.52
1.466   -15.52
1.476   -15.52
1.486   -16.04
1.523   -16.04
1.535   -16.04
1.545   -16.04
1.556   -16.04
1.566   -16.04
1.577   -16.04
1.587   -16.12
1.624   -16.12
1.635   -16.12
1.646   -16.12
1.656   -16.12
1.667   -16.12
1.677   -16.12
1.687   -15.76
1.725   -15.76
1.737   -15.76
1.747   -15.76
1.758   -15.76
1.769   -15.76
1.779   -15.76
1.789   -15.96
1.826   -15.96
 1.84   -15.96
 1.85   -15.96
1.861   -15.96
1.872   -15.96
1.882   -15.96
1.892   -16.09
1.926   -16.09
1.938   -16.09
1.948   -16.09
1.959   -16.09
 1.97   -16.09
 1.98   -16.09
1.991   -15.87
2.027 -15.87
2.038   -15.87
 2.05   -15.87
2.061   -15.87
2.071   -15.87
2.082   -15.87
2.092   -16.08
2.128   -16.08
 2.14   -16.08
 2.15   -16.08
 2.16   -16.08
2.171   -16.08
2.181   -16.08
2.191      -16
2.229      -16
2.241      -16
2.251      -16
2.261      -16
2.272      -16
2.282      -16
2.292   -16.17
 2.33   -16.17
2.341   -16.17
2.352   -16.17
2.363   -16.17
2.373   -16.17
2.384   -16.17
2.394   -16.13
 2.43   -16.13
2.442   -16.13
2.452   -16.13
2.463   -16.13
2.474   -16.13
2.484   -16.13
2.495   -15.71
2.531   -15.71
2.543   -15.71
2.553   -15.71
2.564   -15.71
2.575   -15.71
2.585   -15.71
2.595   -16.01
2.632   -16.01
2.644   -16.01
2.654   -16.01
2.665   -16.01
2.676   -16.01
2.686   -16.01
2.696   -15.69
2.733   -15.69
2.745   -15.69
2.755   -15.69
2.766   -15.69
2.777   -15.69
2.787   -15.69
2.797    -15.8
2.835    -15.8
2.847    -15.8
2.857    -15.8
2.868    -15.8
2.879    -15.8
2.889    -15.8
2.899   -16.11
2.934   -16.11
2.946   -16.11
2.957   -16.11
2.967   -16.11
2.978   -16.11
2.988   -16.11
2.998 -15.97
3.035 -15.97

3.047   -15.97
3.057   -15.97
3.068   -15.97
3.078   -15.97
3.089   -15.97
3.099   -15.81
3.136   -15.81
3.148   -15.81
3.158   -15.81
3.169   -15.81
 3.18   -15.81
 3.19   -15.81
  3.2   -15.44
3.237   -15.44
3.249   -15.44
3.259   -15.44
3.269   -15.44
 3.28   -15.44
 3.29   -15.44
3.301   -16.24
3.338   -16.24
3.349   -16.24
 3.36   -16.24
 3.37   -16.24
3.381   -16.24
3.391   -16.24
3.401   -15.81
3.438   -15.81
 3.45   -15.81
 3.46   -15.81
3.471   -15.81
3.482   -15.81
3.492   -15.81
3.502   -16.16
3.539   -16.16
3.551   -16.16
3.561   -16.16
3.572   -16.16
3.582   -16.16
3.592   -16.16
3.603   -16.09
 3.64   -16.09
3.652   -16.09
3.662   -16.09
3.673   -16.09
3.684   -16.09
3.694   -16.09
3.704   -15.93
3.741   -15.93
3.753   -15.93
3.763   -15.93
3.774   -15.93
3.785   -15.93
3.795   -15.93
3.805   -15.93
3.844   -15.93
3.856   -15.93
3.866   -15.93
3.877   -15.93
3.887   -15.93
3.897   -15.93
3.908   -16.12
3.942   -16.12
3.954   -16.12
3.964   -16.12
3.975   -16.12
3.986   -16.12
3.996 -16.12
4.006 -16.33
4.043 -16.33

4.055   -16.33
4.065   -16.33
4.076   -16.33
4.086   -16.33
4.097   -16.33
4.107    -15.8
4.144    -15.8
4.156    -15.8
4.166    -15.8
4.177    -15.8
4.187    -15.8
4.198    -15.8
4.208   -16.16
4.245   -16.16
4.256   -16.16
4.267   -16.16
4.278   -16.16
4.289   -16.16
4.299   -16.16
4.313   -15.98
4.346   -15.98
4.358   -15.98
4.368   -15.98
4.379   -15.98
4.389   -15.98
4.399   -15.98
 4.41   -16.16
4.447   -16.16
4.458   -16.16
4.468   -16.16
4.479   -16.16
 4.49   -16.16
  4.5   -16.16
 4.51   -16.13
4.547   -16.13
4.559   -16.13
4.569   -16.13
 4.58   -16.13
4.591   -16.13
4.601   -16.13
4.611   -16.06
4.648   -16.06
 4.66   -16.06
 4.67   -16.06
4.681   -16.06
4.692   -16.06
4.702   -16.06
4.712   -15.97
4.749   -15.97
 4.76   -15.97
4.771   -15.97
4.781   -15.97
4.792   -15.97
4.802   -15.97
4.813   -15.82
 4.85   -15.82
4.861   -15.82
4.872   -15.82
4.882   -15.82
4.894   -15.82
4.904   -15.82
4.923   -16.08
 4.95   -16.08
4.962   -16.08
4.972   -16.08
4.983   -16.08
4.993   -16.08
5.004   -16.08
5.014   -15.94
5.051   -15.94
5.064   -15.94
5.074   -15.94
5.085   -15.94
5.095   -15.94
5.105   -15.94
5.116   -16.28
5.152   -16.28
5.164   -16.28
5.174   -16.28
5.185   -16.28
5.196   -16.28
5.206   -16.28
5.223   -16.07
5.253   -16.07
5.265   -16.07
5.276   -16.07
5.286   -16.07
5.297   -16.07
5.307   -16.07
5.317    -16.2
5.354    -16.2
5.366    -16.2
5.376    -16.2
5.387    -16.2
5.398    -16.2
5.408    -16.2
5.418   -15.93
5.454   -15.93
5.466   -15.93
5.477   -15.93
5.487   -15.93
5.498   -15.93
5.509   -15.93
5.523   -15.94
5.555   -15.94
5.567   -15.94
5.578   -15.94
5.588   -15.94
5.599   -15.94
5.609   -15.94
 5.62    -15.9
5.657    -15.9
5.669    -15.9
5.679    -15.9
5.691    -15.9
5.701    -15.9
5.711    -15.9
5.722   -16.23
5.757   -16.23
5.769   -16.23
 5.78   -16.23
5.791   -16.23
5.801   -16.23
5.811   -16.23
5.821   -15.86
5.857   -15.86
5.869   -15.86
5.879   -15.86
 5.89   -15.86
5.901   -15.86
5.911   -15.86
5.921   -16.01
5.958   -16.01
 5.97   -16.01
5.981   -16.01
5.991   -16.01
6.002   -16.01
6.012   -16.01
6.022   -16.01
6.059   -16.01
6.071   -16.01
6.081   -16.01
6.092   -16.01
6.103   -16.01
6.114   -16.01
6.124   -15.64
 6.16   -15.64
6.172   -15.64
6.182   -15.64
6.193   -15.64
6.204   -15.64
6.214   -15.64
6.224   -15.94
6.261   -15.94
6.273   -15.94
6.283   -15.94
6.294   -15.94
6.305   -15.94
6.315   -15.94
6.325   -15.99
6.362   -15.99
6.373   -15.99
6.384   -15.99
6.395   -15.99
6.405   -15.99
6.415   -15.99
6.426   -15.86
6.462   -15.86
6.474   -15.86
6.485   -15.86
6.495   -15.86
6.506   -15.86
6.516   -15.86
6.527   -15.67
6.563   -15.67
6.575   -15.67
6.586   -15.67
6.596   -15.67
6.607   -15.67
6.617   -15.67
6.628   -15.75
6.664   -15.75
6.676   -15.75
6.686   -15.75
6.697   -15.75
6.708   -15.75
6.718   -15.75
6.728    -15.9
6.765    -15.9
6.777    -15.9
6.787    -15.9
6.797    -15.9
6.809    -15.9
6.819    -15.9
6.829   -15.91
6.866   -15.91
6.877   -15.91
6.888   -15.91
6.898   -15.91
6.909   -15.91
6.919   -15.91
 6.93   -16.32
6.966   -16.32
6.978   -16.32
6.989   -16.32
6.999   -16.32
 7.01   -16.32
 7.02   -16.32
 7.03   -16.15
7.067   -16.15
7.079   -16.15
 7.09   -16.15
7.101   -16.15
7.111   -16.15
7.121   -16.15
7.131   -15.84
7.168   -15.84
 7.18   -15.84
 7.19   -15.84
7.201   -15.84
7.212   -15.84
7.222   -15.84
7.232   -15.82
7.269   -15.82
 7.28   -15.82
7.291   -15.82
7.301   -15.82
7.312   -15.82
7.322   -15.82
7.332   -15.84
 7.37   -15.84
7.382   -15.84
7.392   -15.84
7.403   -15.84
7.413   -15.84
7.424   -15.84
7.434   -15.74
 7.47   -15.74
7.482   -15.74
7.493   -15.74
7.514   -15.74
7.524   -15.74
7.534   -15.74
7.545   -15.91
7.577   -15.91
7.589   -15.91
7.599   -15.91
 7.61   -15.91
7.621   -15.91
7.631   -15.91
7.641   -16.15
7.672   -16.15
7.684   -16.15
7.694   -16.15
7.705   -16.15
7.716   -16.15
7.726   -16.15
7.736   -16.12
7.773   -16.12
7.785   -16.12
7.795   -16.12
7.805   -16.12
7.816   -16.12
7.827   -16.12
7.837   -16.12
7.874   -16.12
7.886   -16.12
7.896   -16.12
7.907   -16.12
7.917   -16.12
7.927   -16.12
7.938   -15.94
7.974   -15.94
7.986   -15.94
7.997   -15.94
8.007   -15.94
8.018 -15.94
8.028 -15.94
8.038 -16.2
8.075 -16.2
8.087 -16.2
8.097    -16.2
8.108    -16.2
8.119    -16.2
8.129    -16.2
 8.14   -15.95
8.176   -15.95
8.188   -15.95
8.198   -15.95
8.209   -15.95
8.219   -15.95
 8.23   -15.95
 8.24   -16.17
8.277   -16.17
8.289   -16.17
8.299   -16.17
 8.31   -16.17
 8.32   -16.17
 8.33   -16.17
8.341   -16.08
8.377   -16.08
8.389   -16.08
  8.4   -16.08
 8.41   -16.08
8.422   -16.08
8.432   -16.08
8.442   -15.94
8.478   -15.94
 8.49   -15.94
8.501   -15.94
8.511   -15.94
8.522   -15.94
8.532   -15.94
8.542   -15.97
8.579   -15.97
8.591   -15.97
8.601   -15.97
8.611   -15.97
8.622   -15.97
8.632   -15.97
8.642   -15.99
 8.68   -15.99
8.692   -15.99
8.703   -15.99
8.715   -15.99
8.725   -15.99
8.735   -15.99
8.746   -15.73
8.781   -15.73
8.793   -15.73
8.804   -15.73
8.814   -15.73
8.825   -15.73
8.835   -15.73
8.845   -16.11
8.882   -16.11
8.894   -16.11
8.904   -16.11
8.915   -16.11
8.925   -16.11
8.935   -16.11
8.946   -16.05
8.982   -16.05
8.994   -16.05
9.005   -16.05
9.015   -16.05
 9.026    -16.05
 9.037    -16.05
 9.053    -15.91
 9.083    -15.91
 9.095    -15.91
 9.106    -15.91
 9.116    -15.91
