Frequency(Hz),Phase Shift,Frequency(KHz)
1500,0,1.5
2000,-22.72,2
2500,-22.55,2.5
3000,-33.32,3
3500,253.55,3.5
4000,-42.01,4
4500,-44.48,4.5
5000,-44.59,5
5500,-49.7,5.5
6000,-53.88,6
6500,-53.9,6.5
7000,-54.85,7
7500,-54.85,7.5
8000,-57.13,8
8500,-71.67,8.5
9000,-58.42,9
9500,-48.33,9.5
10000,-60.29,10
10500,197.43,10.5
11000,-60.5,11
11500,-61.75,11.5
12000,-45.63,12
12500,-60.75,12.5
13000,269.88,13
13500,-65.2,13.5
14000,-61.31,14
14500,-61.11,14.5
15000,-60.06,15
15500,-40.38,15.5
16000,60.71,16
16500,82.85,16.5
17000,111.67,17
17500,82,17.5
18000,80.1,18
18500,79.77,18.5
19000,78.16,19
19500,79.43,19.5
20000,76.05,20
20500,-70.55,20.5
21000,-56.02,21
21500,-56.54,21.5
22000,-57.49,22
22500,-54.81,22.5
23000,53.17,23
23500,74.15,23.5
24000,0,24
24500,0,24.5
25000,0,25
25500,0,25.5
26000,0,26
26500,0,26.5
27000,0,27
27500,0,27.5
28000,0,28
28500,0,28.5
29000,0,29
29500,0,29.5
30000,0,30
30500,0,30.5
31000,0,31
31500,60.08,31.5
32000,0,32
32500,0,32.5
33000,0,33
33500,0,33.5
34000,0,34
34500,0,34.5
35000,0,35
35500,0,35.5
36000,0,36
36500,0,36.5
37000,0,37
37500,0,37.5
38000,0,38
38500,0,38.5
39000,0,39
39500,0,39.5
40000,0,40
40500,0,40.5
