Frequency(Hz),Amplitude(mV),Frequency(KHz)
1500,320,1.5
2000,880,2
2500,880,2.5
3000,800,3
3500,800,3.5
4000,720,4
4500,640,4.5
5000,640,5
5500,560,5.5
6000,560,6
6500,480,6.5
7000,480,7
7500,480,7.5
8000,400,8
8500,400,8.5
9000,400,9
9500,320,9.5
10000,320,10
10500,320,10.5
11000,320,11
11500,320,11.5
12000,160,12
12500,240,12.5
13000,240,13
13500,240,13.5
14000,240,14
14500,240,14.5
15000,240,15
15500,240,15.5
16000,200,16
16500,160,16.5
17000,160,17
17500,160,17.5
18000,160,18
18500,160,18.5
19000,160,19
19500,160,19.5
20000,160,20
20500,160,20.5
21000,160,21
21500,160,21.5
22000,160,22
22500,120,22.5
23000,80,23
23500,80,23.5
24000,80,24
24500,80,24.5
25000,80,25
25500,80,25.5
26000,80,26
26500,80,26.5
27000,80,27
27500,80,27.5
28000,80,28
28500,80,28.5
29000,80,29
29500,80,29.5
30000,80,30
30500,120,30.5
31000,80,31
31500,80,31.5
32000,80,32
32500,80,32.5
33000,80,33
33500,80,33.5
34000,80,34
34500,80,34.5
35000,80,35
35500,80,35.5
36000,80,36
36500,80,36.5
37000,80,37
37500,80,37.5
38000,80,38
38500,80,38.5
39000,80,39
39500,80,39.5
40000,80,40
40500,80,40.5
