V,D1 V Output
0.1,18
0.15,30
0.2,38
0.25,48
0.3,57
0.35,70
0.4,78
0.45,90
0.5,97
0.55,110
0.6,122
0.65,131
0.7,140
0.75,149
0.8,162
0.85,171
0.9,185
0.95,188
1,201
1.05,214
1.1,223
1.15,237
1.2,241
1.25,253
1.3,262
1.35,275
1.4,286
1.45,294
1.5,305
1.55,314
1.6,328
1.65,338
1.7,347
1.75,352
1.8,366
1.85,376
1.9,390
1.95,395
2,404
2.05,417
2.1,427
2.15,435
2.2,444
2.25,454
2.3,458
2.35,467
2.4,473
2.45,477
2.5,479
2.55,485
2.6,488
2.65,488
2.7,491
2.75,492
2.8,493
2.85,495
2.9,496
2.95,496
3,497
3.05,498
3.1,499
3.15,499
3.2,500
3.25,500
3.3,501
3.35,0
3.4,501
3.45,503
3.5,0
3.55,503
3.6,503
3.65,504
3.7,504
3.75,505
3.8,504
3.85,505
3.9,505
3.95,505
4,506
4.05,506
4.1,506
4.15,507
4.2,507
4.25,507
4.3,507
4.35,507
4.4,508
4.45,508
4.5,508
4.55,508
4.6,509
4.65,509
4.7,509
4.75,0
4.8,509
4.85,510
4.9,510
4.95,509
5,510
5.05,7
