Untitled,Untitled 1
0.1,18
0.15,29
0.2,37
0.25,49
0.3,58
0.35,72
0.4,77
0.45,90
0.5,98
0.55,112
0.6,121
0.65,129
0.7,142
0.75,151
0.8,164
0.85,169
0.9,182
0.95,190
1,203
1.05,216
1.1,220
1.15,234
1.2,242
1.25,256
1.3,264
1.35,272
1.4,281
1.45,294
1.5,308
1.55,316
1.6,326
1.65,333
1.7,346
1.75,356
1.8,369
1.85,374
1.9,385
1.95,394
2,408
2.05,421
2.1,426
2.15,0
2.2,0
2.25,456
2.3,467
2.35,0
2.4,483
2.45,497
2.5,507
2.55,0
2.6,526
2.65,536
2.7,0
2.75,551
2.8,0
2.85,0
2.9,583
2.95,0
3,0
3.05,616
3.1,0
3.15,629
3.2,641
3.25,651
3.3,656
3.35,667
3.4,676
3.45,0
3.5,692
3.55,0
3.6,0
3.65,0
3.7,734
3.75,744
3.8,753
3.85,761
3.9,758
3.95,762
4,761
4.05,799
4.1,0
4.15,0
4.2,0
4.25,836
4.3,846
4.35,856
4.4,0
4.45,873
4.5,0
4.55,0
4.6,904
4.65,912
4.7,911
4.75,910
4.8,0
4.85,0
4.9,958
4.95,0
5,0
5.05,7
