Untitled,Untitled 1
0.1,1023
0.15,1023
0.2,1023
0.25,1023
0.3,1023
0.35,1023
0.4,1023
0.45,1023
0.5,1023
0.55,1023
0.6,1023
0.65,1023
0.7,1023
0.75,1023
0.8,1023
0.85,1023
0.9,1023
0.95,1023
1,1023
1.05,1023
1.1,1023
1.15,1023
1.2,1023
1.25,1023
1.3,1023
1.35,1023
1.4,1023
1.45,1023
1.5,1023
1.55,1023
1.6,1023
1.65,1023
1.7,1023
1.75,1023
1.8,1023
1.85,1023
1.9,1023
1.95,1023
2,1023
2.05,1023
2.1,1023
2.15,1023
2.2,1023
2.25,1023
2.3,1023
2.35,1023
2.4,1023
2.45,1023
2.5,1023
2.55,1023
2.6,0
2.65,1023
2.7,1023
2.75,1023
2.8,1023
2.85,1023
2.9,1023
2.95,1023
3,1023
3.05,1023
3.1,1023
3.15,1023
3.2,1023
3.25,1023
3.3,1023
3.35,1023
3.4,1023
3.45,1023
3.5,1023
3.55,1023
3.6,1023
3.65,1023
3.7,1023
3.75,1023
3.8,1023
3.85,1023
3.9,1023
3.95,1023
4,1023
4.05,1023
4.1,1023
4.15,1023
4.2,1023
4.25,1023
4.3,1023
4.35,1023
4.4,1023
4.45,1023
4.5,1023
4.55,1023
4.6,1023
4.65,1023
4.7,1023
4.75,1023
4.8,1023
4.85,1023
4.9,1023
4.95,1023
5,1023
5.05,1023
