Untitled,Untitled 1
0.1,20
0.15,37
0.2,47
0.25,56
0.3,71
0.35,82
0.4,88
0.45,92
0.5,96
0.55,102
0.6,105
0.65,106
0.7,109
0.75,109
0.8,110
0.85,111
0.9,112
0.95,113
1,112
1.05,114
1.1,114
1.15,115
1.2,115
1.25,116
1.3,116
1.35,116
1.4,117
1.45,116
1.5,118
1.55,118
1.6,118
1.65,118
1.7,118
1.75,119
1.8,119
1.85,0
1.9,0
1.95,120
2,120
2.05,120
2.1,120
2.15,121
2.2,121
2.25,0
2.3,121
2.35,121
2.4,121
2.45,121
2.5,121
2.55,0
2.6,122
2.65,0
2.7,0
2.75,122
2.8,122
2.85,123
2.9,123
2.95,123
3,123
3.05,123
3.1,123
3.15,123
3.2,123
3.25,123
3.3,124
3.35,124
3.4,124
3.45,124
3.5,124
3.55,124
3.6,124
3.65,124
3.7,124
3.75,124
3.8,125
3.85,124
3.9,124
3.95,125
4,125
4.05,125
4.1,125
4.15,125
4.2,125
4.25,125
4.3,125
4.35,125
4.4,125
4.45,125
4.5,126
4.55,125
4.6,125
4.65,126
4.7,126
4.75,126
4.8,126
4.85,126
4.9,126
4.95,126
5,126
5.05,10
